danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,added_at,name
0.467,0.362,9,-12.312,0,0.0404,0.489,0.0586,0.111,0.192,124.984,24aOsDgIOcivmr0q2sfLt3,239266,4,2018-07-10T13:36:48Z,Falling Night
0.721,0.583,5,-7.631,0,0.111,0.256,0.00533,0.11,0.331,106.078,4sG6J4S2FCuMr3oooYAwFS,202695,4,2018-07-10T13:50:09Z,Astronaut - Something About Your Love
0.7,0.172,8,-15.478,1,0.0833,0.835,6.22e-06,0.106,0.198,124.914,5Q5fB9kPU1JCNutdLHzSfo,222240,4,2018-07-10T14:06:53Z,Heartbeat
0.64,0.583,10,-6.521,1,0.0496,0.326,1.16e-05,0.13,0.362,91.968,1Zmfv37UqzfpXnnh3LbXpf,202174,4,2018-07-10T14:18:51Z,Not Alone
0.694,0.726,0,-7.297,0,0.0322,0.12,0.00258,0.215,0.451,105.968,0KL9K9gnnbVEdA5t1F6EIs,226981,4,2018-07-10T14:21:00Z,Sunburn
0.853,0.484,0,-9.103,1,0.0692,0.637,0.0125,0.0944,0.586,119.508,10Yzn7D4l9imoN802Tyg0i,212385,4,2018-07-10T14:22:40Z,Poolside
0.684,0.774,7,-5.951,1,0.188,0.26,0,0.108,0.448,84.991,1VCHNbal0VtE2plMRzvoho,175059,4,2018-07-10T14:36:43Z,Weekend
0.616,0.663,6,-5.056,0,0.0403,0.0988,0,0.161,0.184,94.02,3zzDs7euxA9c5guPOt7A1B,223592,4,2018-07-10T14:41:27Z,Famous
0.678,0.374,0,-9.387,0,0.0475,0.561,0.0249,0.103,0.0519,82.058,3XWUy9BZzFYd5cQSDY3nae,222439,4,2018-07-13T21:24:15Z,Drift
0.735,0.43,9,-9.532,1,0.0349,0.573,0,0.111,0.522,129.942,0ncp94ULTBgS0U3GZD80AC,189660,4,2018-07-17T21:52:19Z,Smoke Filled Room - Acoustic Session
0.679,0.662,8,-6.069,0,0.174,0.155,0,0.152,0.438,99.879,5masKPHeAOVNgxdLebIcK7,222801,4,2018-07-18T18:09:24Z,Stole the Show
0.644,0.803,1,-4.117,1,0.0666,0.114,0,0.0994,0.291,125.947,72eyEFbN9yMIwKx78ae0S1,211538,4,2018-07-18T19:03:17Z,In The Morning
0.683,0.647,2,-6.36,1,0.0371,0.244,1.15e-05,0.0733,0.351,91.041,7ahYQRrOQSXJ5OhsLnpfU8,213626,4,2018-07-19T17:05:55Z,You're Not Missing Me
0.583,0.748,6,-4.798,1,0.0292,0.00695,0.0241,0.22,0.254,142.029,1Hk0QRlUFCHYG6zIvUh0Xd,233239,4,2018-07-22T15:53:27Z,Summer
0.708,0.945,5,-3.247,0,0.234,0.00104,0.0803,0.227,0.545,127.96,3aIhJDHxr1kgTSnutJxPTH,203133,4,2018-07-30T04:33:21Z,Peanut Butter Jelly
0.809,0.71,9,-6.15,0,0.108,0.344,4.13e-06,0.162,0.353,110.036,2iNIdJqx4zvsOA1eY8I4QZ,187707,4,2018-07-30T01:27:28Z,Kings And Queens Of Summer
0.637,0.778,5,-3.642,0,0.0706,0.0248,0,0.228,0.286,103.093,0ftAX4mbuRx6Wr6PvpAIZs,188738,4,2018-08-03T17:40:12Z,Pretender (feat. Lil Yachty & AJR)
0.717,0.872,11,-3.279,1,0.0357,0.0162,1.99e-06,0.205,0.61,120.026,6lD9nDl7jBUSIPDMAMZjuD,205250,4,2018-07-22T15:54:23Z,Anywhere
0.634,0.556,6,-9.149,0,0.064,0.431,2.2e-05,0.102,0.136,110.175,0A9fNzuRa0WqaCmxY7FOLK,263935,4,2018-07-23T19:31:48Z,Only
0.531,0.769,10,-2.881,0,0.063,0.325,0,0.305,0.479,77.351,4TcSvASmTs7HICEY6is1iX,195252,4,2018-08-01T01:46:28Z,Wildcard
0.366,0.379,6,-11.534,1,0.0362,0.886,0.0219,0.102,0.0753,139.473,3p10Uj0mYylRjO2PQl3iZM,202560,4,2018-07-23T19:33:06Z,Arc
